"name","username","time","timestamp","text","location"
"DanielRichards","@DanielR63205605","Oct 17, 2019 8:15 AM","1571296522","
  Unless somebody wants to join...""Sky tweet""..Or heaven to be precise those jokes may land a whole being in cold room......
",
"Orville Kline","@OrvilleKline","Oct 17, 2019 8:10 AM","1571296218","
   I’m back at my Thursday night residency at goldroomchicago tomorrow night! Who’s down to party?? #goldroom #srtb #goforgold #goldengirls #stripclubsanddollabillz @ The Gold Room Chicago https://www.instagram.com/p/B3td7IVDG_2/?igshid=t1r47wvp89uy …
","Chicago, IL"
"Cold Room Watcher","@francis_abban","Oct 17, 2019 8:07 AM","1571296055","
  Breakfast ay3 ready ooo!! What do you care for? #MorningStarrpic.twitter.com/kBfdXUpaJ0
","Accra, Ghana"
"Mduduzi Mabhuma","@Mdu_MacGee","Oct 17, 2019 8:03 AM","1571295796","
  Jemde kuberegwe, we want that cold room running smooth boys!
","Pretoria | Esgodlweni  👑"
"Yoghurt k3 Pie","@Amarkai5","Oct 17, 2019 8:01 AM","1571295712","
  #OnMyWeddingDay No be small cold room experience she will get ooo 
","Accra"
"bone daddy.","@_skinnysouls_","Oct 17, 2019 7:51 AM","1571295110","
  Sleeping in a cold room helps lose weight. But how am i supposed to sleep if im not warm.
","18"
"Cold Room Watcher","@francis_abban","Oct 17, 2019 7:27 AM","1571293647","
  Ntsi iyi oy3 threat anaa request?https://twitter.com/_tadiboy/status/1184715989746884610 …
","Accra, Ghana"
"Soneofmountain","@mobmoja","Oct 17, 2019 7:24 AM","1571293468","
  Saw a USA farmer store this viazi for years in a huge cold room with sophist temperature control. That's the way to go. Bila #kplc I guesshttps://twitter.com/RiazGilani/status/1184703322181328896 …
","Kenya"
"plusfm","@plusfmradio","Oct 17, 2019 7:15 AM","1571292939","
  #Nowplaying on http://plusfm.net   ♫ Goldroom - Yellow Flowers
","Paris"
"D A R E X 😎","@chiefzaddy2","Oct 17, 2019 7:15 AM","1571292916","
  Wetin Boniface no go see for cold room
","Lagos, Nigeria"
"Laurence","@inilaurence","Oct 17, 2019 7:03 AM","1571292192","
  This one pss cold room experience pic.twitter.com/DV8Yeps1SA
","Here"
"Hungry 4 Jolly Ranchers","@HungryCow64","Oct 17, 2019 6:39 AM","1571290749","
  Idk about yall but sleeping in a cold room sure is a blessing
","Maryland, USA"
"Cold Room!!!","@ShyWale","Oct 17, 2019 6:22 AM","1571289749","
  And for an educated person who should even know better
","Lagos"
"Alyssaaa 💋","@lysssax0_","Oct 17, 2019 6:14 AM","1571289274","
  nothin better than a cold room, cuddling under the blankets w ya boo watching scary movies all night 
","Bronx, NY"
"Cold Room Watcher","@francis_abban","Oct 17, 2019 6:04 AM","1571288677","
  I need a new phone. iPhone 11. Amen.  #Olekodo #MorningStarrpic.twitter.com/wqxLHdGBAC
","Accra, Ghana"
"DJ Tinojee","@DTinojee","Oct 17, 2019 6:04 AM","1571288650","
  Goldroom Tonight pic.twitter.com/Oule7aVarU
",
"mel","@mtality","Oct 17, 2019 5:59 AM","1571288381","
  This is me when Natalia gives me her half ass blanket in her cold room https://twitter.com/m4neugly/status/1184286603067478022 …
",
"Tealangel56","@Tealangel56","Oct 17, 2019 5:48 AM","1571287707","
  Sleeping in a cold room helps you go to sleep quicker and removes stress. https://viralhatch.com/sleeping-in-a-cold-room-helps-you-go-to-sleep-quicker-and-removes-stress/ …
","Oklahoma"
"Laxpri: Preserving Freshness","@Fresh_N_Good","Oct 17, 2019 5:41 AM","1571287278","
  Happy #karvachauth

.
.
.
.
.
.
#karvachauth2019 #ColdRoom #coldstorage #Laxpri #PreservingFreshness #FoodPreserv #FoodProcess #bananaripeningroom #FruitRipening #waterdispenser #Water #Fruits #rawfood @laxpri_preserving_freshnesspic.twitter.com/VUDYaNcIvh
","India"
"Naae 😽","@Dayainee","Oct 17, 2019 5:41 AM","1571287264","
  I love sleeping in a cold room 
","Somewhere listening to music ✨"
"Evan Thompson  🐊","@Evan_Thompsonn","Oct 17, 2019 5:33 AM","1571286822","
  I love having a freezing cold room to sleep 
","West Palm Beach, FL"
"Digital Lit Bot","@BasicBonesBot","Oct 17, 2019 5:28 AM","1571286537","
  The messenger in the cold room.
",
"Patrol Electricians Pretoria Centurion","@BrandonHotera","Oct 17, 2019 5:15 AM","1571285731","
  Coldroom repair and ice machine services Pretoria , Centurion air condition | Junk Mail https://www.junkmail.co.za/services/maintenance-and-construction-services/electrical-services/gauteng/pretoria/pretoria-east/coldroom-repair-and-ice-machine-services-pretoria-centurion-air-condition/25076151e8e34f40a0446861b8316814#.Xafq33cRNW8.twitter …
","South Africa"
"Patrol Electricians Pretoria Centurion","@BrandonHotera","Oct 17, 2019 5:13 AM","1571285627","
  cold room and Refrigeration Services & Repair Pretoria | Junk Mail https://www.junkmail.co.za/services/maintenance-and-construction-services/electrical-services/gauteng/pretoria/pretoria-east/cold-room-and-refrigeration-services-repair-pretoria/92b767f04017419b9a128aba19422753#.Xafqd9SyOMc.twitter …
","South Africa"
"Moe 🦋","@Morrgann_Woodss","Oct 17, 2019 5:13 AM","1571285583","
  a cold room is the only way to sleep.
","Fort Polk South, LA"
"Denim Amour  ♡","@_jussskenniese","Oct 17, 2019 5:12 AM","1571285544","
  The goldroom is lit rn ...
",
"‏ً","@sugabot","Oct 17, 2019 5:03 AM","1571284984","
  Fell asleep with my window open last night and now I feel like #this but will I probably still keep it open tonight because I love sleeping in a cold room? Absolutely pic.twitter.com/KwiXLSrjkX
",
"kay 🌻","@burkey_24","Oct 17, 2019 4:50 AM","1571284210","
  i just wanna be in a cold room under blankets cuddled up next to you.
",
" 🐰 Eri ♡ EXO  🐻","@kaitingmyeon","Oct 17, 2019 4:43 AM","1571283816","
  6 things I like (excluding fandom things)

 cold rain in the spring
 long car/train/plane rides
 playing piano
 wearing a baggy hoody and shorts in cold weather so I'm warm and cold
 hot street food in fall
 reading while wrapped in warm blankets in a cold room https://twitter.com/HeartlineNabi/status/1184662736908644353 …
",
"غرفة باردة","@coldroom_","Oct 17, 2019 4:42 AM","1571283743","
   — إلى صديقي.. رأيت أنك قد أكرمتني من وقتك وأغدقت عليّ بعطفك ولطفت صباحي برسالتك.. قُل لي: كيف لمثلي ألا يبتسم ويسعد…https://curiouscat.me/coldroom_/post/1004535200?t=1571283743 …
","حيثما ألقي مفاتيحي .."
"Billy Flanaghost  👻","@waflanagan","Oct 17, 2019 4:38 AM","1571283514","
  I gotta say... I got home and shut my windows. And I *might* have turned the heater on briefly@in my living area so I could get stuff done... but no heater in the bedroom, BC nothing is better than cold room+blankets
","Washington, DC or thereabouts"
" 🌈kasia 🌹","@morgenlich","Oct 17, 2019 4:38 AM","1571283513","
  ideal sleeping conditions are freezing cold room—window open during winter perfectly acceptable—under several blankets and with a heating pad
",
"Courtney Wendleton","@CneyWendleton","Oct 17, 2019 4:33 AM","1571283201","
  Sleeping in a cold room helps you go to sleep quicker and removes stress. https://viralhatch.com/sleeping-in-a-cold-room-helps-you-go-to-sleep-quicker-and-removes-stress/?_coldblankett …
","Ocean View, Hawaii"
"kæ 💗","@kayylllaaaaC","Oct 17, 2019 4:30 AM","1571283030","
  a dark cold room with a candle lit and a fuzzy blanket  all i’m missing is my boo
","Wharton, TX"
"Loren Due","@lorendue","Oct 17, 2019 4:19 AM","1571282382","
  Sleeping in a cold room helps you go to sleep quicker and removes stress. https://viralhatch.com/sleeping-in-a-cold-room-helps-you-go-to-sleep-quicker-and-removes-stress/ …
","Southern California"
"Loueyville","@loueyville","Oct 17, 2019 4:15 AM","1571282119","
  I have a sweater, a fleece and a blanket on me and I'm still shivering in my house. I'm trying to respect my husband's wishes to ""sleep in a cold room."" But I'm about to set a bonfire in the kitchen.
","Louisville, KY"
"Tina Penman","@TinainPearls","Oct 17, 2019 4:12 AM","1571281938","
  So excited for @goldroom’s LIVE set in PDX in just two weeks!! Still debating Vancouver!! Should I hit that up twice?!! https://instagram.com/stories/goldroom/2156018923051447724?igshid=s8yr9ej6geu2 …
","Portland, OR"
"darren alderfield","@djdarrena","Oct 17, 2019 3:56 AM","1571280984","
  Waking up with wheezing and crackling noises from the lungs early every morning !

Is that cat allergies or something else ?

It goes when I get out of the dwelling and into fresh air but I do tend to sleep in a cold room !
","Burnley"
"Altédola 🤗 😎","@AjalaOfficial","Oct 17, 2019 3:47 AM","1571280469","
  Cold room is colder
","somewhere in space"
"trista","@davidisposable","Oct 17, 2019 3:46 AM","1571280405","
  am i the only person who’d rather sleep in a super cold room with blankets on rather than a warm room with no blankets on 
","Los Angeles, CA"
"Olufadeju","@olulion","Oct 17, 2019 3:37 AM","1571279859","
  Cold Room Treatment
","Abuja/Nigeria"
"I-LIKE-MY-PBNJSANDWICHES-WITH-NO-PB","@im_lashkid","Oct 17, 2019 3:22 AM","1571278966","
  Cold room but no bae 
","Williamstown, NJ"
"NinaAndSunny  💕","@NinaBubby_","Oct 17, 2019 3:22 AM","1571278936","
  A root beer float popcorn and Naruto Snuggled in a cold room under a blanket. Son is sleep. I’m at complete peace
","With my two favorite boys  💙"
"Mac&Cheese","@tubbydane","Oct 17, 2019 3:03 AM","1571277796","
  Cold room with the fan on high
",
"Read my Blogs!","@whatflop","Oct 17, 2019 3:03 AM","1571277792","
  Sleeping in a cold room helps you go to sleep quicker and removes stress. https://viralhatch.com/sleeping-in-a-cold-room-helps-you-go-to-sleep-quicker-and-removes-stress/ …
","Louisville, Ky"
"K ❣️","@kdash___","Oct 17, 2019 2:58 AM","1571277528","
  The cold room is a must at night 
","Pennsylvania, USA"
" 🦄 ❤ 💎","@DashingDom","Oct 17, 2019 2:56 AM","1571277372","
  Cold room = 
","Central African Republic"
"Samuel O. Olakunori","@Sirmoen1","Oct 17, 2019 2:54 AM","1571277283","
  It seems you just enter 9ja.... CP that is likely to be in the 'cold room' during weekends. Shey nah him go disguise enter another police station?
",
"Sarah Mirabelli","@ICallItBeauty","Oct 17, 2019 2:54 AM","1571277248","
  The only way I can sleep is in a dark, quiet, cold room ! 
","Exit 209"
"Tempest Thomas","@DSTiny3","Oct 17, 2019 2:52 AM","1571277124","
  Sleeping in a cold room helps you go to sleep quicker and removes stress. https://viralhatch.com/sleeping-in-a-cold-room-helps-you-go-to-sleep-quicker-and-removes-stress/ …
","Glen Burnie, MD"
"Selina","@_selinazay","Oct 17, 2019 2:51 AM","1571277112","
  I still sleep with my AC on ... a cold room helps me sleep
",
"SNOB 💅🏽","@muvaofmelanin","Oct 17, 2019 2:45 AM","1571276745","
  At GoldRoom 
","Maryland, USA"
"Shanghai Xurui","@ShanghaiXurui","Oct 17, 2019 2:44 AM","1571276651","
  Copeland water cooled air cooled refrigeration cooling unit for cold room pic.twitter.com/WWnFmJHBJf
",
"Dan Avallone","@dja69","Oct 17, 2019 2:32 AM","1571275976","
  I saw a study that found we sleep better in a cold room, around 62
","Portland"
"NorthsideFlowerMkt","@NFlowerMarket","Oct 17, 2019 2:30 AM","1571275804","
  We have beautiful Queensland-grown roses in the cold room today, available in a range of colours. After a particular colour for an upcoming occasion? Let us know & we can special order them in for you  
#flowermarket #roses #florist #brisbaneflorist #floristry #locallygrownpic.twitter.com/QdaCyah33n
","Stafford, Brisbane"
"♡  🌙 ✨ 🌙 ✨ ♡","@win_Taebear","Oct 17, 2019 2:27 AM","1571275647","
  im gg to die in this cold room
","Singapore"
"Cold Room!!!","@ShyWale","Oct 17, 2019 2:15 AM","1571274911","
  She's not stingy. She knows the kinda people she's dealing with. She let's them in and sooner or later she finds herself and her kids homeless on the street
","Lagos"
"Ｋａｌｅｅ","@KontourandKale","Oct 17, 2019 2:04 AM","1571274252","
  This woman on Facebook shared an article about how sleeping in a cold room has health benefits ....... Her husband proceeded to comment, “No, just no”... Bitch, you need to hire a divorce attorney IMMEDIATELY 
","West Virginia, USA  ✨"
"Phenomenal.com.ng","@ng_phenomenal","Oct 17, 2019 2:02 AM","1571274153","
  Lecturer explains genesis of ‘cold room’ as UNILAG sets up task force on sexual harassment http://dlvr.it/RGLrd1 pic.twitter.com/v6yuFWulcF
","Nigeria"
"Allie","@modernights","Oct 17, 2019 1:59 AM","1571273983","
  They weren't even warm??? Like they were idk cold??? Room temp???? Like they had been sitting out for quite a time
","𝐈𝐈 - 𝐗𝐕 - 𝐗𝐕𝐈𝐈𝐈"
"Alfred W. Smith, Jr.","@AWSJR50","Oct 17, 2019 1:57 AM","1571273871","
  #WritersLifeChat ""The temple's new acolyte was grateful for the short candle they put in his sparse, cold room. It wouldn't be long before it was consumed, but it would keep the nightmares away if he fell asleep first."" That kind of stuff...
","Jersey City, New Jersey, USA"
"ktmantey","@ktmantey","Oct 17, 2019 1:54 AM","1571273645","
  We would know what the cold room experience is all about .... #OnMyWeddingDaypic.twitter.com/dc3bTjuFUB
","Kwame Nkrumah Motorway Accra"
"Cold Room!!!","@ShyWale","Oct 17, 2019 1:34 AM","1571272474","
  Help me ask o
","Lagos"
"sab 🕸","@bisharoncarter","Oct 17, 2019 1:29 AM","1571272155","
  i just sleep better in a cold room ugh
","she/her"
"Digital Lit Bot","@BasicBonesBot","Oct 17, 2019 1:08 AM","1571270928","
  The filling machine operator in the cold room.
",
" 🦇","@Lonevvolf_x","Oct 17, 2019 1:08 AM","1571270906","
  I just wanna have a Harry Potter marathon with a blunt & some popcorn in a nice cold room cuddled up.
","AZ"
"BRA KOJO  🇬🇭","@KOJO_PABLO","Oct 17, 2019 12:53 AM","1571270036","
  Cold room experience  https://twitter.com/curlymimi_/status/1184541230987927555 …
","Greater Accra, Ghana"
"𝘦𝘮𝘮𝘢 𝘰𝘣𝘦𝘳𝘭𝘪𝘯 𝘭𝘰𝘷𝘦𝘴 𝘨𝘢𝘣 ♡","@sweetlikegabs","Oct 17, 2019 12:17 AM","1571267842","
  hi coldroom, cakepops, and @gabcake make me happy. ♡
","huggin u one day ♡"
"𝘦𝘮𝘮𝘢 𝘰𝘣𝘦𝘳𝘭𝘪𝘯 𝘭𝘰𝘷𝘦𝘴 𝘨𝘢𝘣 ♡","@sweetlikegabs","Oct 17, 2019 12:16 AM","1571267786","
  COLD ROOM IS MY SONG
","huggin u one day ♡"
"Peter papka","@Peterm_papka","Oct 17, 2019 12:16 AM","1571267763","
  Cold room experience I guess just BBC the guy abeg. But why do people take advantage of small position that’s not fair at all. God Dey sha stay strong
",
"Bakir","@MightyViking","Oct 16, 2019 11:58 PM","1571266733","
  This blanket in a cold room >>>>> pic.twitter.com/4WOFVpNDFk
","North West, England"
"Carol Butler Crawley","@C_S_Crawley","Oct 16, 2019 11:56 PM","1571266590","
  Sleeping in a cold room helps you go to sleep quicker and removes stress. https://viralhatch.com/sleeping-in-a-cold-room-helps-you-go-to-sleep-quicker-and-removes-stress/ … via @MostTalkedAbou1
",
"C A S S  👑","@cassiniemmanuel","Oct 16, 2019 11:48 PM","1571266106","
  I went to Unilag today,  to look for the cold room
","When you get to yaba turn left"
"Nacho Coronel","@iggnacioguerra","Oct 16, 2019 11:42 PM","1571265725","
  
","Guadalajara, Jalisco"
"Rochelle Carter","@sfbrochelle","Oct 16, 2019 11:40 PM","1571265617","
  Sleeping in a cold room helps you go to sleep quicker and removes stress. https://viralhatch.com/sleeping-in-a-cold-room-helps-you-go-to-sleep-quicker-and-removes-stress/ …
",
"Kat Driver","@thekatthatbarks","Oct 16, 2019 11:37 PM","1571265453","
  Bundle up in blankets in a cold room and watch Studio Ghibli movies. Make something hot to drink
","Odessa, TX"
"Kylo_Ren","@thestormtroope","Oct 16, 2019 11:30 PM","1571265051","
  Time for cold room experience https://twitter.com/SkySportsNews/status/1184515574673694721 …
","zoldyck mansion"
"Boston University","@BU_Tweets","Oct 16, 2019 11:30 PM","1571265021","
  A cold room is never fun. DM us with your residence and we'll send a note over to facilities.
","Boston, MA"
"Campus Vibes Gh","@CampusVibesGh1","Oct 16, 2019 11:28 PM","1571264889","
  https://www.youtube.com/watch?v=sj-XFCN0sbg&t=67s …
Cold room experience ... lol https://twitter.com/CampusVibesGh1/status/1183508152031023105 …
",
"ｓｉｎｇｌｅ ᎠᎪᎠᎠY  🧔🏽","@CarewAkanni","Oct 16, 2019 11:24 PM","1571264653","
  *TIME FOR COLD ROOM EXPERIENCE*
","LUST"
"Kindly follow back as I","@OluwatadeFaith","Oct 16, 2019 11:20 PM","1571264459","
  Lol @Omojuwa, I was under the lecture of a UNILAG Prof. (their Quality Assurance Chief) 1month ago he talked of Unilag's Sexual Relationship Policy . Then #sexforgrades. Was like didn't d policy handle cold-room? 

Nigeria can talk and formulate policies for the Universe. https://twitter.com/Omojuwa/status/1184575769311371264 …
","Lagos, Nigeria"
"Tim Pitt-Payne","@tpittpayne","Oct 16, 2019 11:15 PM","1571264144","
  This is a wonderful piece.  ""You can keep him up late at night, not roistering, but staring at a dead fire in a cold room."" (CS Lewis, Screwtape Letters, letter 12).
","London (work) / Sussex (home)"
"Gata","@KatDia16","Oct 16, 2019 11:11 PM","1571263876","
  When Alin use to let us sleep in his cold room with those sheets was the best
",
"NorthsideFlowerMkt","@NFlowerMarket","Oct 16, 2019 11:07 PM","1571263666","
  Good morning friends! We have some lovely #bouquets & arrangements ready to go in the cold room this morning - pop in or call 38564711 for delivery  #flowermarket #florist #brisbaneflorist #brisbaneflowers #bouquet #flowerdelivery #birthday #anniversary #iloveflowers #flowerspic.twitter.com/0MJeWeCCbn
","Stafford, Brisbane"
"Malcolm X  ®️","@Ade_koyaa","Oct 16, 2019 10:49 PM","1571262549","
  Then it feels colder, and I could hear my heart calling out to you for your help.
The breeze outside was chilled, like I've been locked in a cold room.
Then I remembered about yesterday night, when you kissed me and it feels like strawberry dipped in chocolate.
","Earth  🌌"
"Hispanic @ the disco","@FantasyNitWit","Oct 16, 2019 10:43 PM","1571262225","
  Sleeping in a cold room >>>>>
",
" 🎠","@IIthirteenII","Oct 16, 2019 10:41 PM","1571262081","
  a cold room, coffee, Netflix, & ur kisses..
",
"raheem oladimeji","@Dmj7273Raheem","Oct 16, 2019 10:32 PM","1571261536","
  Let them show us the cold room first. Yeye people, 89% of them are involved in that barbaric acts
","lagos"
"Leilani","@MissL3i","Oct 16, 2019 10:19 PM","1571260769","
  !
","San Diego , CA"
"playboi carly","@carlyseppala","Oct 16, 2019 10:11 PM","1571260301","
  My parents: turn on the heat 
Me: opens window, puts fan in window, lays in freezing cold room with 3 blankets on 
My parents: plz move out  
Me: (:
","London, Ontario"
"AccursedUmbra","@Csulli96","Oct 16, 2019 10:11 PM","1571260298","
  I got one as an early birthday present and it is so amazing if you have a cold room
",
"Cold Room Watcher","@francis_abban","Oct 16, 2019 10:02 PM","1571259734","
  Taadi killers for the talkings. M3nntry. Wen wasoa na tsei dis. Olekodo. #MorningStarr #ThingsFallApartpic.twitter.com/MF0JfJbNVM
","Accra, Ghana"
"Cold Room Watcher","@francis_abban","Oct 16, 2019 10:02 PM","1571259723","
  Taadi killers for the talkings. M3nntry. Wen wasoa na tsei dis. Olekodo. #MorningStarr #ThingsFallApartpic.twitter.com/ch0IGha3gQ
","Accra, Ghana"
"OnSumGShyt","@Zones365","Oct 16, 2019 9:48 PM","1571258887","
  Lil jay just made me want them goldroom wings
","JamminAve"
"Cold Room","@stanns_dream","Oct 16, 2019 9:47 PM","1571258821","
  Wow ...... Google has a purpose tho
","Akosombo"
"Goldroom","@goldroom","Oct 16, 2019 9:46 PM","1571258816","
  Very excited to be playing the inaugural Intersect Festival in Las Vegas this December. It's an absolute murderous lineup and I can't wait to be there all weekend!https://twitter.com/intersectfest/status/1184461498124509185 …
","Los Angeles"
"Cold Room","@stanns_dream","Oct 16, 2019 9:45 PM","1571258720","
  
","Akosombo"
"Goldroom","@goldroom","Oct 16, 2019 9:45 PM","1571258711","
  we're two weeks away!
","Los Angeles"
"MINISTER FOR BREZZ AFFAIRS®","@olamilekankrm","Oct 16, 2019 9:44 PM","1571258642","
  Lukewarm ke? Aunty my singleness is chilling in the cold room. It can't be warm
","Lagos, Nigeria"
"» 𝒍𝒂𝒖𝒓𝒆𝒏 « wants to meet gabi!!","@vintageforgabi","Oct 16, 2019 9:43 PM","1571258592","
  cold room is so peaceful and calming it deserves all the awards possible. to me it feels like walking through a musical winter forest. not to mention @gabcake’s vocals i mean...sis served.
",
"Fran (Saber)","@PIasmaBIade","Oct 16, 2019 9:37 PM","1571258246","
  I live in the meat freezer.. I re-purposed it... as a super cold room... 

I have all my inventions on my workbench..!
","CRED: Frankensays w permission"
"VIGOUR EDEM VIGOR","@Vigour120","Oct 16, 2019 9:28 PM","1571257709","
  Cold room watcher
",
"Cold Room Watcher","@francis_abban","Oct 16, 2019 9:25 PM","1571257552","
  Fela Kuti sey VIP na Vagabonds In Power. Now @yemialadee too dey yap sey CIA na Criminal In Agbada. Chae  wahala Dey!!!pic.twitter.com/R0dZXPXUVt
","Accra, Ghana"
"Chris  ❌","@chrisciccone","Oct 16, 2019 9:11 PM","1571256687","
  When will you drop the album? Any time soon?
","Mexico"
"VERSATILE HOE 🀄","@rahmanislitty","Oct 16, 2019 9:01 PM","1571256076","
  ""baby, let's go to coldroom now""

""I work for BBC"" https://twitter.com/OGdejii/status/1184427106010304512 …
","In Your Bitch"
"Jacob Baah","@jbaah_","Oct 16, 2019 8:52 PM","1571255558","
  #onmyweddingday cold room experience that night ooo. 
","Sekondi Takoradi, Ghana"
"✧ 𝕾𝖆𝖗𝖆𝖍 ✧","@lukeft90s","Oct 16, 2019 8:44 PM","1571255060","
  best sleeping conditions: freezing fucking cold room but layers and layers of blankets
","stuck in 2014"
"megan  🧚🏾‍♀️","@_meganlgraham","Oct 16, 2019 8:43 PM","1571255002","
  I be so comfortable cuddling with my teddy bears in a quiet, cold room 
","morris college ‘21"
"e͏m͏m͏y͏","@sunsesmia","Oct 16, 2019 8:40 PM","1571254846","
  im under two blankets in a cold room this is great
","she/her"
"Surveyor Mintus","@survmintus","Oct 16, 2019 8:39 PM","1571254771","
  Wetin Dr. Boniface no go see for cold room
",
"PETNOTH 💥","@iam_Pell","Oct 16, 2019 8:34 PM","1571254470","
  Same as Cold room in Unilag https://twitter.com/just_korex/status/1184538541436653569 …
",
"Danny Pan","@Dannythenubian","Oct 16, 2019 8:26 PM","1571253982","
  Some cold room parole, what are you gonna do?
",
"MommaG","@TheOnlyMommaG","Oct 16, 2019 8:20 PM","1571253657","
  I need to sleep in a cold room under a warm blanket..i don’t care if my husband has icicles hanging from his nose...
",
"Kwasi.A. 🇬🇭","@Shev7r","Oct 16, 2019 8:20 PM","1571253634","
  A cold room experience  https://twitter.com/kobinaocrangh/status/1184545206919712768 …
","Accra, Ghana"
"TheConfidant","@DJSAMQ","Oct 16, 2019 8:15 PM","1571253316","
  #Tonight JOIN US  EACH AND EVERY WEDNESDAY  AFRO & RNB night at GOLDROOM. (atlgoldroom) ⠀
“THE SEXIEST CLUB IN ATLANTA #ATL “ ⠀
⠀
(SERIOUSLY)  TELLA FRIEND TO TELLA FRIEND TO PULL UP. ⠀⠀⠀
⠀⠀
Music by… https://www.instagram.com/p/B3sMB7MgZVv/?igshid=nbyfmt547rww …
","NYCBRONX, CHICAGO ✈ATL"
"QwodjoAlutah","@QwodjoAlutah","Oct 16, 2019 8:12 PM","1571253120","
  #OnMyWeddingDay we will have a cold room that the kissing will take place
",
"Cold Room Experience","@sylermayne","Oct 16, 2019 8:11 PM","1571253108","
  How the hell do broke niqqas get these good d*cks 
",
